,AOU,scientific_name,common_name
349,3800,Glaucidium brasilianum,Ferruginous Pygmy-Owl
350,3810,Micrathene whitneyi,Elf Owl
351,3780,Athene cunicularia,Burrowing Owl
352,3690,Strix occidentalis,Spotted Owl
353,3680,Strix varia,Barred Owl
354,3700,Strix nebulosa,Great Gray Owl
355,3660,Asio otus,Long-eared Owl
356,3670,Asio flammeus,Short-eared Owl
357,3710,Aegolius funereus,Boreal Owl
358,3720,Aegolius acadicus,Northern Saw-whet Owl
359,3890,Trogon elegans,Elegant Trogon
360,3901,Megaceryle torquata,Ringed Kingfisher
361,3900,Megaceryle alcyon,Belted Kingfisher
362,3910,Chloroceryle americana,Green Kingfisher
363,4080,Melanerpes lewis,Lewis's Woodpecker
364,4060,Melanerpes erythrocephalus,Red-headed Woodpecker
365,4070,Melanerpes formicivorus,Acorn Woodpecker
366,4110,Melanerpes uropygialis,Gila Woodpecker
367,4100,Melanerpes aurifrons,Golden-fronted Woodpecker
368,4090,Melanerpes carolinus,Red-bellied Woodpecker
369,4040,Sphyrapicus thyroideus,Williamson's Sapsucker
370,4020,Sphyrapicus varius,Yellow-bellied Sapsucker
371,4021,Sphyrapicus nuchalis,Red-naped Sapsucker
372,4030,Sphyrapicus ruber,Red-breasted Sapsucker
373,4022,Sphyrapicus sp.,unid. sapsucker
374,4010,Picoides dorsalis,American Three-toed Woodpecker
375,4000,Picoides arcticus,Black-backed Woodpecker
376,3940,Dryobates pubescens,Downy Woodpecker
377,3970,Dryobates nuttallii,Nuttall's Woodpecker
378,3960,Dryobates scalaris,Ladder-backed Woodpecker
379,3950,Dryobates borealis,Red-cockaded Woodpecker
380,3930,Dryobates villosus,Hairy Woodpecker
381,3990,Dryobates albolarvatus,White-headed Woodpecker
382,3975,Dryobates arizonae,Arizona Woodpecker
383,4123,Colaptes auratus,(unid. Red/Yellow Shafted) Northern Flicker
384,4120,Colaptes auratus auratus,(Yellow-shafted Flicker) Northern Flicker
385,4130,Colaptes auratus cafer,(Red-shafted Flicker) Northern Flicker
386,4125,Colaptes auratus auratus x auratus cafer,hybrid Northern Flicker (Red x Yellow-shafted)
387,4140,Colaptes chrysoides,Gilded Flicker
388,4050,Dryocopus pileatus,Pileated Woodpecker
389,3920,Woodpecker sp.,unid. woodpecker
390,3620,Caracara cheriway,Crested Caracara
391,3600,Falco sparverius,American Kestrel
392,3570,Falco columbarius,Merlin
393,3590,Falco femoralis,Aplomado Falcon
394,3540,Falco rusticolus,Gyrfalcon
395,3560,Falco peregrinus,Peregrine Falcon
396,3550,Falco mexicanus,Prairie Falcon
397,3824,Myiopsitta monachus,Monk Parakeet
398,51830,Aratinga nenday,Nanday Parakeet
399,52021,Brotogeris chiriri,Yellow-chevroned Parakeet
400,3827,Brotogeris versicolurus / chiriri,unid. White-winged / Yellow-chevroned Parakeet
401,3826,Amazona viridigenalis,Red-crowned Parrot
402,3823,Psittacula krameri,Rose-ringed Parakeet
403,3822,Melopsittacus undulatus,Budgerigar
404,4411,Pachyramphus aglaiae,Rose-throated Becard
405,4720,Camptostoma imberbe,Northern Beardless-Tyrannulet
406,4550,Myiarchus tuberculifer,Dusky-capped Flycatcher
407,4540,Myiarchus cinerascens,Ash-throated Flycatcher
408,4520,Myiarchus crinitus,Great Crested Flycatcher
409,4530,Myiarchus tyrannulus,Brown-crested Flycatcher
410,4490,Pitangus sulphuratus,Great Kiskadee
411,4510,Myiodynastes luteiventris,Sulphur-bellied Flycatcher
412,4460,Tyrannus melancholicus,Tropical Kingbird
413,4461,Tyrannus couchii,Couch's Kingbird
414,4462,Tyrannus melancholicus / couchii,unid. Tropical Kingbird / Couch's Kingbird
415,4480,Tyrannus vociferans,Cassin's Kingbird
416,4451,Tyrannus crassirostris,Thick-billed Kingbird
417,4470,Tyrannus verticalis,Western Kingbird
418,4447,Tyrannus vociferans / verticalis,unid. Cassin's Kingbird / Western Kingbird
419,4440,Tyrannus tyrannus,Eastern Kingbird
420,4450,Tyrannus dominicensis,Gray Kingbird
421,4430,Tyrannus forficatus,Scissor-tailed Flycatcher
422,4420,Tyrannus savana,Fork-tailed Flycatcher
423,4590,Contopus cooperi,Olive-sided Flycatcher
424,4600,Contopus pertinax,Greater Pewee
425,4620,Contopus sordidulus,Western Wood-Pewee
426,4610,Contopus virens,Eastern Wood-Pewee
427,4630,Empidonax flaviventris,Yellow-bellied Flycatcher
428,4650,Empidonax virescens,Acadian Flycatcher
429,4661,Empidonax alnorum,Alder Flycatcher
430,4660,Empidonax traillii,Willow Flycatcher
431,4665,Empidonax alnorum / traillii,unid. Alder Flycatcher / Willow Flycatcher
432,4670,Empidonax minimus,Least Flycatcher
433,4680,Empidonax hammondii,Hammond's Flycatcher
434,4691,Empidonax wrightii,Gray Flycatcher
435,4690,Empidonax oberholseri,Dusky Flycatcher
436,4689,Empidonax hammondii / oberholseri,unid. Hammond's Flycatcher / Dusky Flycatcher
437,4641,Empidonax difficilis,Pacific-slope Flycatcher
438,4640,Empidonax occidentalis,Cordilleran Flycatcher
439,4642,Empidonax difficilis / occidentalis,unid. Cordilleran / Pacific-slope Flycatcher
440,4700,Empidonax fulvifrons,Buff-breasted Flycatcher
441,4679,Empidonax sp.,unid. Empidonax flycatcher
442,4580,Sayornis nigricans,Black Phoebe
443,4560,Sayornis phoebe,Eastern Phoebe
444,4570,Sayornis saya,Say's Phoebe
445,4710,Pyrocephalus rubinus,Vermilion Flycatcher
446,6220,Lanius ludovicianus,Loggerhead Shrike
447,6210,Lanius borealis,Northern Shrike
448,6300,Vireo atricapilla,Black-capped Vireo
449,6310,Vireo griseus,White-eyed Vireo
450,6330,Vireo bellii,Bell's Vireo
451,6340,Vireo vicinior,Gray Vireo
452,6320,Vireo huttoni,Hutton's Vireo
453,6280,Vireo flavifrons,Yellow-throated Vireo
454,6291,Vireo cassinii,Cassin's Vireo
455,6290,Vireo solitarius,Blue-headed Vireo
456,6295,Vireo cassinii / solitarius,unid. Cassin's Vireo / Blue-headed Vireo
457,6292,Vireo plumbeus,Plumbeous Vireo
